https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VET,Volume USDT,tradecount
1623110400000,2021-06-08 00:00:00,VET/USDT,0.11460000,0.11846000,0.09900000,0.11285000,3698318136.90000000,405320584.55665600,504331
1623024000000,2021-06-07 00:00:00,VET/USDT,0.12766000,0.13650000,0.11280000,0.11458000,2210084147.90000000,279547382.00053100,366915
1622937600000,2021-06-06 00:00:00,VET/USDT,0.12533000,0.13399000,0.12445000,0.12766000,1593745131.20000000,206511913.54116600,261647
1622851200000,2021-06-05 00:00:00,VET/USDT,0.12908000,0.14189000,0.12000000,0.12534000,2588768201.70000000,341330104.66144300,420421
1622764800000,2021-06-04 00:00:00,VET/USDT,0.14323000,0.15285000,0.11971000,0.12902000,4259089209.70000000,574325359.93555600,740949
1622678400000,2021-06-03 00:00:00,VET/USDT,0.12565000,0.14509000,0.12305000,0.14323000,2329521871.10000000,314069409.37240700,457431
1622592000000,2021-06-02 00:00:00,VET/USDT,0.12063000,0.13199000,0.11703000,0.12573000,1643652027.80000000,206419966.40347500,310411
1622505600000,2021-06-01 00:00:00,VET/USDT,0.12592000,0.12973000,0.11775000,0.12068000,2135264727.90000000,261702195.93606400,360008
1622419200000,2021-05-31 00:00:00,VET/USDT,0.10741000,0.12626000,0.10203000,0.12588000,2486990006.30000000,284722677.35024100,415647
1622332800000,2021-05-30 00:00:00,VET/USDT,0.09896000,0.11475000,0.09230000,0.10752000,2592725414.60000000,277216424.79790700,380873
1622246400000,2021-05-29 00:00:00,VET/USDT,0.10812000,0.11400000,0.09250000,0.09896000,2641195002.70000000,270568184.89674200,380465
1622160000000,2021-05-28 00:00:00,VET/USDT,0.123680,0.125310,0.102390,0.108030,2528532104,281599328.291900,620167
1622073600000,2021-05-27 00:00:00,VET/USDT,0.132930,0.135800,0.118620,0.123660,1882743304,238476271.769737,504593
1621987200000,2021-05-26 00:00:00,VET/USDT,0.112520,0.141040,0.109500,0.132940,3173361659,411975160.169260,772652
1621900800000,2021-05-25 00:00:00,VET/USDT,0.112300,0.120360,0.104250,0.112510,3227018568,359684632.785570,719795
1621814400000,2021-05-24 00:00:00,VET/USDT,0.086320,0.117650,0.084990,0.112280,4654358644,483382326.460890,992745
1621728000000,2021-05-23 00:00:00,VET/USDT,0.099450,0.105590,0.065660,0.086290,5446652648,459780130.812180,1093670
1621641600000,2021-05-22 00:00:00,VET/USDT,0.108200,0.111840,0.092880,0.099410,4070240121,417744731.011590,840274
1621555200000,2021-05-21 00:00:00,VET/USDT,0.130630,0.139070,0.089770,0.108200,4372000859,504865224.431802,1152992
1621468800000,2021-05-20 00:00:00,VET/USDT,0.105360,0.145840,0.089930,0.130710,5396955168,647697152.823381,1375400
1621382400000,2021-05-19 00:00:00,VET/USDT,0.162110,0.164780,0.053760,0.105390,5988239243,733302309.866124,1701084
1621296000000,2021-05-18 00:00:00,VET/USDT,0.157790,0.171600,0.156090,0.162090,1869098247,306925345.889561,623631
1621209600000,2021-05-17 00:00:00,VET/USDT,0.176410,0.177580,0.149180,0.157860,2774642765,449914758.786495,881519
1621123200000,2021-05-16 00:00:00,VET/USDT,0.172830,0.193010,0.160490,0.176430,2095782676,373900338.547018,740511
1621036800000,2021-05-15 00:00:00,VET/USDT,0.186650,0.188320,0.170030,0.172750,1462826243,261305535.345145,522336
1620950400000,2021-05-14 00:00:00,VET/USDT,0.182480,0.193000,0.177500,0.186600,1619882813,300659300.494051,485379
1620864000000,2021-05-13 00:00:00,VET/USDT,0.166110,0.190130,0.153920,0.182430,3995506785,705236899.021817,1108571
1620777600000,2021-05-12 00:00:00,VET/USDT,0.212860,0.215211,0.159220,0.166400,2166832877,428187101.641084,761424
