https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1622332800000,2021-05-30 00:00:00,DOT/USDT,19.88100000,21.35600000,18.41600000,20.46500000,17307772.37500000,351190236.37865200,624064
1622246400000,2021-05-29 00:00:00,DOT/USDT,21.34900000,22.31900000,18.77900000,19.86800000,20620470.34700000,423929772.95227600,733877
1622160000000,2021-05-28 00:00:00,DOT/USDT,23.996,26.231,20.030,21.349,52769895.8,1188221275.0490,1806658
1622073600000,2021-05-27 00:00:00,DOT/USDT,24.529,24.970,21.746,23.995,25085377.1,590208744.8857,969306
1621987200000,2021-05-26 00:00:00,DOT/USDT,22.141,24.788,21.612,24.529,27287311.3,637850285.5645,1021428
1621900800000,2021-05-25 00:00:00,DOT/USDT,23.260,24.218,19.615,22.141,34542082.3,746971806.5580,1201907
1621814400000,2021-05-24 00:00:00,DOT/USDT,17.905,23.477,17.071,23.268,44312245.8,901816763.5559,1390218
1621728000000,2021-05-23 00:00:00,DOT/USDT,22.060,23.467,13.611,17.906,68972958.8,1217275329.1637,2046320
1621641600000,2021-05-22 00:00:00,DOT/USDT,24.389,24.618,20.312,22.052,36868429.3,833078466.8694,1317514
1621555200000,2021-05-21 00:00:00,DOT/USDT,28.941,31.010,19.959,24.400,50897272.6,1287453893.0897,2018435
1621468800000,2021-05-20 00:00:00,DOT/USDT,25.051,31.300,21.071,28.942,51882967.0,1419795593.2358,1925186
1621382400000,2021-05-19 00:00:00,DOT/USDT,40.642,41.445,15.376,25.061,69636761.5,2176758330.0494,3074880
1621296000000,2021-05-18 00:00:00,DOT/USDT,38.725,42.599,37.688,40.616,24162448.2,968607143.2232,1346589
1621209600000,2021-05-17 00:00:00,DOT/USDT,42.466,42.550,35.132,38.732,30985017.6,1202325489.3344,1709636
1621123200000,2021-05-16 00:00:00,DOT/USDT,43.673,46.773,39.300,42.461,27139702.3,1166990879.0300,1470273
1621036800000,2021-05-15 00:00:00,DOT/USDT,48.064,49.855,42.783,43.660,41668486.9,1949288958.8536,2361879
1620950400000,2021-05-14 00:00:00,DOT/USDT,40.028,48.184,39.433,48.063,37234079.4,1617045392.6627,1920133
1620864000000,2021-05-13 00:00:00,DOT/USDT,35.072,41.926,32.800,40.027,45175868.6,1762169698.3492,2245372
1620777600000,2021-05-12 00:00:00,DOT/USDT,38.665,42.571,33.644,35.072,29184708.6,1148475762.0242,1361702
1620691200000,2021-05-11 00:00:00,DOT/USDT,36.479,38.708,35.580,38.665,14215182.8,526796779.3755,681292
1620604800000,2021-05-10 00:00:00,DOT/USDT,40.328,41.895,32.000,36.479,23334284.5,892669001.6047,1013647
1620518400000,2021-05-09 00:00:00,DOT/USDT,39.956,40.600,38.198,40.347,14289094.3,565122497.7246,709288
1620432000000,2021-05-08 00:00:00,DOT/USDT,39.871,40.730,38.748,39.953,10914755.8,434172851.3833,565050
1620345600000,2021-05-07 00:00:00,DOT/USDT,41.642,42.805,38.300,39.865,22928084.6,938440925.2363,1025301
1620259200000,2021-05-06 00:00:00,DOT/USDT,40.476,44.215,38.026,41.637,30580933.5,1249572044.2329,1327542
1620172800000,2021-05-05 00:00:00,DOT/USDT,34.798,40.849,34.555,40.477,21794009.5,832185297.6132,954914
1620086400000,2021-05-04 00:00:00,DOT/USDT,37.306,38.002,34.400,34.796,21499084.4,777032119.1129,898873
1620000000000,2021-05-03 00:00:00,DOT/USDT,36.655,38.381,36.633,37.296,14684144.2,550636292.3949,659584
1619913600000,2021-05-02 00:00:00,DOT/USDT,36.957,37.232,35.470,36.658,11217607.8,408678744.8737,547659
1619827200000,2021-05-01 00:00:00,DOT/USDT,36.554,37.421,35.789,36.959,11979611.1,439943114.9021,567195
1619740800000,2021-04-30 00:00:00,DOT/USDT,35.992,36.866,35.137,36.553,15819473.6,571206373.4013,694810
1619654400000,2021-04-29 00:00:00,DOT/USDT,33.996,36.015,33.010,35.989,12659208.0,431191741.9544,631601
1619568000000,2021-04-28 00:00:00,DOT/USDT,34.836,35.437,32.600,34.000,13264606.2,447450775.2416,678500
1619481600000,2021-04-27 00:00:00,DOT/USDT,33.408,34.988,33.184,34.824,13514086.9,460664933.1343,663564
1619395200000,2021-04-26 00:00:00,DOT/USDT,29.839,33.500,29.751,33.410,15063885.9,486307774.5217,769987
1619308800000,2021-04-25 00:00:00,DOT/USDT,29.000,31.349,28.100,29.831,14293436.1,425827017.9087,709342
1619222400000,2021-04-24 00:00:00,DOT/USDT,32.255,32.429,28.555,29.000,16745239.8,508029469.9470,817591
1619136000000,2021-04-23 00:00:00,DOT/USDT,32.960,33.535,26.452,32.257,33395778.1,1005354972.5990,1365564
1619049600000,2021-04-22 00:00:00,DOT/USDT,33.827,36.830,32.802,32.963,22982564.2,791829150.0353,1133899
1618963200000,2021-04-21 00:00:00,DOT/USDT,35.423,36.358,33.047,33.817,18123651.9,631171582.4277,829573
1618876800000,2021-04-20 00:00:00,DOT/USDT,34.774,35.800,31.549,35.420,23355838.0,788706674.2089,1024047
