Date,Close/Last,Volume,Open,High,Low
08/17/2021,$56.01,11987540,$55.87,$56.02,$55.625
08/16/2021,$56.28,14408720,$56.3,$56.43,$55.93
08/13/2021,$56.47,10841710,$56.39,$56.62,$56.26
08/12/2021,$56.39,11214980,$55.85,$56.45,$55.66
08/11/2021,$55.86,12604660,$55.89,$56.01,$55.6
08/10/2021,$55.61,10441900,$55.5,$55.67,$55.25
08/09/2021,$55.47,8707363,$55.82,$56.07,$55.4
08/06/2021,$55.59,18386120,$55.47,$55.95,$55.15
08/05/2021,$55.76,10785170,$55.52,$55.98,$55.5
08/04/2021,$55.69,11662400,$56.37,$56.37,$55.47
08/03/2021,$56.25,17357430,$55.535,$56.415,$55.27
08/02/2021,$55.45,12468820,$55.597,$55.94,$55.26
07/30/2021,$55.37,13438790,$55.08,$55.49,$55.01
07/29/2021,$55.07,10680230,$55,$55.35,$54.9
07/28/2021,$54.77,18835700,$55.46,$55.52,$54.41
07/27/2021,$55.28,14738680,$55.38,$55.41,$54.79
07/26/2021,$55.47,10097440,$55.1315,$55.65,$55.1315
07/23/2021,$55.23,13042470,$54.89,$55.34,$54.51
07/22/2021,$54.54,15729800,$53.905,$54.55,$53.78
07/21/2021,$53.88,14068610,$53.82,$53.9,$53.42
07/20/2021,$53.58,17250160,$53.28,$53.93,$53.19
07/19/2021,$53.06,19925280,$53.67,$53.695,$52.73
07/16/2021,$53.7,14144920,$53.88,$54.4092,$53.65
07/15/2021,$53.65,14952370,$53.84,$53.87,$53.24
07/14/2021,$54.09,17113680,$53.5,$54.2,$53.34
07/13/2021,$53.32,9927531,$53.34,$53.58,$53.2
07/12/2021,$53.23,14000840,$54.04,$54.04,$53.13
07/09/2021,$53.74,14673400,$53.36,$53.93,$53.29
07/08/2021,$53.26,15691810,$53.16,$53.72,$52.91
07/07/2021,$53.26,14411560,$53.07,$53.3,$52.67
07/06/2021,$52.98,19394470,$53.216,$53.36,$52.34
07/02/2021,$53.54,15068260,$53.19,$53.62,$52.835
07/01/2021,$53.44,15074800,$53.05,$53.6,$53
06/30/2021,$53,15826640,$52.95,$53.07,$52.62
06/29/2021,$52.91,10926110,$52.89,$53.1877,$52.77
06/28/2021,$52.96,14008660,$53.16,$53.29,$52.92
06/25/2021,$53.06,16682660,$52.77,$53.195,$52.6466
06/24/2021,$52.78,13974290,$52.94,$53.05,$52.61
06/23/2021,$52.76,14749810,$53.27,$53.29,$52.59
06/22/2021,$53.26,16451240,$53.3,$53.36,$52.81
06/21/2021,$53.18,17682230,$52.365,$53.41,$52.29
06/18/2021,$52.07,35758260,$52.805,$52.84,$51.88
06/17/2021,$53.13,18288400,$53.41,$53.545,$53.01
06/16/2021,$53.47,15477900,$53.85,$53.92,$53.13
